book_title,author,cover_url,publisher,pub_year,book_url,comment_id,user,content,rating
源代码,[美] 比尔·盖茨,https://img9.doubanio.com/view/subject/s/public/s35075224.jpg,,2025-1,https://book.douban.com/subject/37212965/,4433914117,虬戈翼王,豪华写作班底，打造出来的作品果然上乘。可以说，是近几年最好的商业人物传记之一，没有成功学味和资料堆砌拼凑的浆糊味！更期待下一部，因为这部写的是 1978 年之前，而关于微软被反垄断、保罗离开微软等种种争议，不知道盖茨如何秉笔直书？,推荐
源代码,[美] 比尔·盖茨,https://img9.doubanio.com/view/subject/s/public/s35075224.jpg,,2025-1,https://book.douban.com/subject/37212965/,4434818705,辰丁,只讲到 80 年代之前，很多内容之前已经在《Hard Drive》里看了，但盖茨自己叙述出来还是不一样的角度和感受。盖茨的成长经历很不同，他很自我，但家庭和学校（私立的）能包容。实际上跟盖茨同一年出生的乔布斯虽然家境比他家差，但他爸爸对他也很包容。另外一点，我发现保罗开发的模拟器被低估了，之前有印象，这次盖茨在书里专门说了他的工作的作用，对以后开发其他版本的软件都很有用，不用获得产品实体就可以开发。实际上，模拟器也是英伟达发展过程中一大法宝，就是在流片前就可以把芯片运行一遍，可以很好的 debug，大大加快的芯片开发周期，英伟达早期处于破产边缘时黄仁勋就花 100 万美元买了一个实体的芯片模拟器以加快开发进度，实际上这也是英伟达现在推广的世界基础模型），不用真的做实验，只需要电脑模拟。,力荐
源代码,[美] 比尔·盖茨,https://img9.doubanio.com/view/subject/s/public/s35075224.jpg,,2025-1,https://book.douban.com/subject/37212965/,4438728566,六月雪,"1.教育的目的不是塑造标准答案,而是培养学生的积极主动性和探索精神。\n2.年轻人探索未来不是被动接受,而是要主动寻找定义自己的机会。\n3.社会进步不仅需要经济发展,更需要培育支持年轻人创新的文化土壤。",No rating
源代码,[美] 比尔·盖茨,https://img9.doubanio.com/view/subject/s/public/s35075224.jpg,,2025-1,https://book.douban.com/subject/37212965/,4440210851,Jimmy47,得到听书\n\n盖茨的幸运体现在三方面\n第一是作为婴儿潮的一代，盖茨成长的阶段是美国战后最为繁荣的阶段，每个阶层都在成长，而盖茨所处的上中产阶层可以为自己的孩子创造自由生长的环境。盖茨父母对盖茨的呵护也是备至，对于盖茨这样“早熟的问题男孩”，父母足够包容。\n\n第二是湖滨中学当时恰好推动教育理念的转型，从一个效仿英式古板的男校，变成一个倡导自由探索，给孩子以宽松成长环境的学校。湖滨中学强调五角发展——有点类似六边形战士的味道——除了我们所关注的德智体之外，还强调学习态度和人际关系，最后这两点对于一个孩子的成长至关重要。\n\n第三是成年人对孩子的胡闹有足够的包容度，而且他们有一种共同的信念，那就是即使貌似胡闹的自由生长也可能产生超乎想象的成果，所需要的是给孩子们一定的空间、一定的鼓励，以及一定的指导。,力荐
源代码,[美] 比尔·盖茨,https://img9.doubanio.com/view/subject/s/public/s35075224.jpg,,2025-1,https://book.douban.com/subject/37212965/,4450271714,·端口,很好看，原本以为比尔盖茨已经是古早人物了，读的过程发现故事依旧惊心动魄。最大感概还是育儿方面的启发，父母的引导和包容，支持，鼓励社交，鼓励跟大人沟通。感慨他们的高中生可以做这么多事，而我们只有在做试卷。,力荐
源代码,[美] 比尔·盖茨,https://img9.doubanio.com/view/subject/s/public/s35075224.jpg,,2025-1,https://book.douban.com/subject/37212965/,4430086749,Tim,创业大成运气占80% 努力可能只占20%,推荐
源代码,[美] 比尔·盖茨,https://img9.doubanio.com/view/subject/s/public/s35075224.jpg,,2025-1,https://book.douban.com/subject/37212965/,4446451284,朱木,比尔·盖茨是我孩童时代的偶像，那时我读着他与微软的故事尝试将自己与生俱来的天赋与好奇探索着与“现实”的世界接轨，幸运或遗憾的是我在真正理解到数学之美时已逐渐投向另一个不确定的、人性的领域，但这仍然不影响我对比尔·盖茨，这个最后的新教伦理科技精英的喜爱。,力荐
源代码,[美] 比尔·盖茨,https://img9.doubanio.com/view/subject/s/public/s35075224.jpg,,2025-1,https://book.douban.com/subject/37212965/,4437205523,皮皮吃杯酒,第一章第20页和22页分别提到外祖母和祖母高中班级排名第一并且在毕业典礼致辞。 是真的这么巧合还是翻译错误？？？,力荐
源代码,[美] 比尔·盖茨,https://img9.doubanio.com/view/subject/s/public/s35075224.jpg,,2025-1,https://book.douban.com/subject/37212965/,4457418676,耶！神奇,外祖母，父母及周边，老师及朋友的深远影响。\n家庭：好环境，好条件，好读书，社交爱好培养\n自身：超级专注，数学好，编代码,推荐
源代码,[美] 比尔·盖茨,https://img9.doubanio.com/view/subject/s/public/s35075224.jpg,,2025-1,https://book.douban.com/subject/37212965/,4442866847,江湖遠人,有点无聊。,还行
源代码,[美] 比尔·盖茨,https://img9.doubanio.com/view/subject/s/public/s35075224.jpg,,2025-1,https://book.douban.com/subject/37212965/,4472038994,elice,感觉很真诚的书写。大的时代背景、优秀的父母、优渥的家庭、志同道合相互激励的伙伴、自己的一颗好奇好胜的心。,力荐
源代码,[美] 比尔·盖茨,https://img9.doubanio.com/view/subject/s/public/s35075224.jpg,,2025-1,https://book.douban.com/subject/37212965/,4468407458,🌈^_^✨,家庭提供的优越出身和资源，学校里良师、益友提供的各种想法和助力，时运的推动，以及盖茨自身极强的专注力和强大的对新事物、新市场的探索驱动力造就了计算机行业的一代传奇,推荐
源代码,[美] 比尔·盖茨,https://img9.doubanio.com/view/subject/s/public/s35075224.jpg,,2025-1,https://book.douban.com/subject/37212965/,4448856232,杨家小九儿,无与伦比!\n尤其让我学习了上乘的个人成长路径与教育。,力荐
源代码,[美] 比尔·盖茨,https://img9.doubanio.com/view/subject/s/public/s35075224.jpg,,2025-1,https://book.douban.com/subject/37212965/,4445491199,Tina,饱含情感 财新的书籍推荐实在是一个很好的书评 这不是一部商业传记 更多是一部教育传著,推荐
源代码,[美] 比尔·盖茨,https://img9.doubanio.com/view/subject/s/public/s35075224.jpg,,2025-1,https://book.douban.com/subject/37212965/,4434287990,sensor,对早年的成长经历写的很真诚，十几岁孩子的心理描写的很真实。生于美国的白人男性，出众的数学与专注力天赋、富裕的家庭、开明的父母、优秀的学校和同伴，共同起了作用,力荐
源代码,[美] 比尔·盖茨,https://img9.doubanio.com/view/subject/s/public/s35075224.jpg,,2025-1,https://book.douban.com/subject/37212965/,4456706693,柴chuai望天呆,“成年的奇妙之处在于，它让你意识到剥去年岁和学识的层层包裹，你在很大程度上还是最初的那个你。从很多方面来说，我依然是那个坐在外祖母家餐桌前、等着她发牌的8岁男孩。我仍怀揣着同样的期待，就像是一个打起十足精神的孩子，想要搞清楚眼前所有的一切。”\n个人、家庭、教育、社会环境。四重幸运，缺一不可。,力荐
